"Measurement outcome","Frequency"
"0000","474"
"0001","44"
"0010","55"
"0011","482"
"0100","45"
"0101","428"
"0110","426"
"0111","54"
"1000","68"
"1001","452"
"1010","472"
"1011","82"
"1100","450"
"1101","50"
"1110","70"
"1111","444"
