"Measurement outcome","Frequency"
"0000","450"
"0001","23"
"0010","37"
"0011","510"
"0100","31"
"0101","489"
"0110","435"
"0111","41"
"1000","42"
"1001","447"
"1010","479"
"1011","46"
"1100","496"
"1101","34"
"1110","48"
"1111","488"
