"Measurement outcome","Frequency"
"0000","323"
"0001","162"
"0010","159"
"0011","351"
"0100","178"
"0101","323"
"0110","313"
"0111","180"
"1000","199"
"1001","309"
"1010","319"
"1011","205"
"1100","344"
"1101","194"
"1110","206"
"1111","331"
