"Measurement outcome","Frequency"
"0000","164"
"0001","337"
"0010","357"
"0011","180"
"0100","355"
"0101","157"
"0110","152"
"0111","356"
"1000","365"
"1001","163"
"1010","153"
"1011","381"
"1100","161"
"1101","341"
"1110","331"
"1111","143"
