"Measurement outcome","Frequency"
"0000","49"
"0001","471"
"0010","453"
"0011","61"
"0100","449"
"0101","38"
"0110","47"
"0111","438"
"1000","483"
"1001","53"
"1010","45"
"1011","479"
"1100","43"
"1101","472"
"1110","469"
"1111","46"
