"Measurement outcome","Frequency"
"0001","1"
"0011","20"
"0101","13"
"0110","2"
"0111","125"
"1000","1"
"1001","84"
"1010","5"
"1011","611"
"1100","8"
"1101","386"
"1110","46"
"1111","2794"
