"Measurement outcome","Frequency"
"0000","1"
"0001","391"
"0010","28"
"0011","3018"
"0100","1"
"0101","68"
"0110","3"
"0111","471"
"1001","10"
"1010","1"
"1011","89"
"1101","2"
"1111","13"
