"Measurement outcome","Frequency"
"0000","1"
"0001","31"
"0011","7"
"0100","3"
"0101","147"
"0111","14"
"1000","8"
"1001","606"
"1011","62"
"1100","23"
"1101","2889"
"1110","5"
"1111","300"
