"Measurement outcome","Frequency"
"0000","598"
"0001","6"
"0010","71"
"0100","2980"
"0101","22"
"0110","309"
"0111","4"
"1000","16"
"1010","1"
"1100","84"
"1101","1"
"1110","4"
