"Measurement outcome","Frequency"
"0001","91"
"0010","2"
"0011","619"
"0100","6"
"0101","354"
"0110","30"
"0111","2876"
"1001","4"
"1010","1"
"1011","20"
"1101","8"
"1111","85"
