"Measurement outcome","Frequency"
"0001","13"
"0010","3"
"0011","136"
"0101","2"
"0111","31"
"1000","5"
"1001","380"
"1010","38"
"1011","2938"
"1100","1"
"1101","52"
"1110","4"
"1111","493"
