"Measurement outcome","Frequency"
"0000","153"
"0001","1"
"0010","11"
"0100","23"
"0110","3"
"1000","3006"
"1001","11"
"1010","364"
"1011","2"
"1100","469"
"1110","52"
"1111","1"
