"Measurement outcome","Frequency"
"0000","23"
"0010","1"
"0100","122"
"0101","1"
"0110","17"
"1000","630"
"1001","3"
"1010","51"
"1011","2"
"1100","2930"
"1101","25"
"1110","286"
"1111","5"
