"Measurement outcome","Frequency"
"0000","1"
"0001","165"
"0011","19"
"0101","28"
"0111","6"
"1000","23"
"1001","3016"
"1010","2"
"1011","308"
"1100","4"
"1101","469"
"1111","55"
