"Measurement outcome","Frequency"
"0000","286"
"0001","208"
"0010","306"
"0011","232"
"0100","239"
"0101","281"
"0110","254"
"0111","204"
"1000","275"
"1001","263"
"1010","310"
"1011","194"
"1100","304"
"1101","200"
"1110","299"
"1111","241"
