"Measurement outcome","Frequency"
"0000","218"
"0001","330"
"0010","337"
"0011","167"
"0100","361"
"0101","169"
"0110","172"
"0111","336"
"1000","378"
"1001","175"
"1010","184"
"1011","309"
"1100","192"
"1101","299"
"1110","324"
"1111","145"
