"Measurement outcome","Frequency"
"0000","331"
"0001","208"
"0010","246"
"0011","304"
"0100","213"
"0101","275"
"0110","269"
"0111","190"
"1000","253"
"1001","281"
"1010","311"
"1011","223"
"1100","325"
"1101","175"
"1110","204"
"1111","288"
