"Measurement outcome","Frequency"
"0000","248"
"0001","255"
"0010","339"
"0011","185"
"0100","303"
"0101","186"
"0110","222"
"0111","272"
"1000","352"
"1001","186"
"1010","216"
"1011","307"
"1100","259"
"1101","293"
"1110","308"
"1111","165"
