"Measurement outcome","Frequency"
"0000","405"
"0001","59"
"0010","123"
"0011","432"
"0100","100"
"0101","375"
"0110","384"
"0111","89"
"1000","136"
"1001","401"
"1010","403"
"1011","130"
"1100","425"
"1101","91"
"1110","131"
"1111","412"
