"Measurement outcome","Frequency"
"0000","458"
"0001","35"
"0010","58"
"0011","453"
"0100","45"
"0101","416"
"0110","418"
"0111","56"
"1000","72"
"1001","460"
"1010","474"
"1011","69"
"1100","444"
"1101","57"
"1110","80"
"1111","501"
