"Measurement outcome","Frequency"
"0000","233"
"0001","242"
"0010","259"
"0011","268"
"0100","268"
"0101","242"
"0110","237"
"0111","249"
"1000","289"
"1001","247"
"1010","253"
"1011","300"
"1100","240"
"1101","257"
"1110","263"
"1111","249"
