"Measurement outcome","Frequency"
"0000","31"
"0001","456"
"0010","474"
"0011","46"
"0100","426"
"0101","21"
"0110","44"
"0111","452"
"1000","499"
"1001","38"
"1010","64"
"1011","508"
"1100","40"
"1101","443"
"1110","498"
"1111","56"
