"Measurement outcome","Frequency"
"0000","177"
"0001","366"
"0010","360"
"0011","150"
"0100","422"
"0101","115"
"0110","116"
"0111","361"
"1000","392"
"1001","124"
"1010","131"
"1011","393"
"1100","118"
"1101","385"
"1110","388"
"1111","98"
