"Measurement outcome","Frequency"
"0000","176"
"0001","357"
"0010","372"
"0011","129"
"0100","417"
"0101","120"
"0110","115"
"0111","340"
"1000","421"
"1001","133"
"1010","167"
"1011","384"
"1100","140"
"1101","338"
"1110","366"
"1111","121"
