"Measurement outcome","Frequency"
"0000","387"
"0001","191"
"0010","160"
"0011","361"
"0100","145"
"0101","366"
"0110","329"
"0111","120"
"1000","168"
"1001","346"
"1010","366"
"1011","191"
"1100","320"
"1101","151"
"1110","156"
"1111","339"
