"Measurement outcome","Frequency"
"0000","393"
"0001","204"
"0010","158"
"0011","346"
"0100","134"
"0101","355"
"0110","303"
"0111","139"
"1000","154"
"1001","398"
"1010","373"
"1011","147"
"1100","367"
"1101","138"
"1110","147"
"1111","340"
