"Measurement outcome","Frequency"
"0000","107"
"0001","424"
"0010","407"
"0011","102"
"0100","396"
"0101","73"
"0110","87"
"0111","431"
"1000","407"
"1001","91"
"1010","92"
"1011","436"
"1100","104"
"1101","392"
"1110","445"
"1111","102"
