"Measurement outcome","Frequency"
"0000","17"
"0001","475"
"0010","486"
"0011","46"
"0100","445"
"0101","25"
"0110","23"
"0111","493"
"1000","461"
"1001","53"
"1010","39"
"1011","481"
"1100","32"
"1101","467"
"1110","503"
"1111","50"
