"Measurement outcome","Frequency"
"0000","176"
"0001","290"
"0010","365"
"0011","192"
"0100","344"
"0101","147"
"0110","154"
"0111","341"
"1000","368"
"1001","170"
"1010","150"
"1011","375"
"1100","138"
"1101","346"
"1110","381"
"1111","159"
