"Measurement outcome","Frequency"
"0000","419"
"0001","81"
"0010","99"
"0011","412"
"0100","102"
"0101","412"
"0110","415"
"0111","96"
"1000","132"
"1001","423"
"1010","347"
"1011","112"
"1100","429"
"1101","109"
"1110","108"
"1111","400"
