"Measurement outcome","Frequency"
"0000","460"
"0001","43"
"0010","50"
"0011","475"
"0100","45"
"0101","450"
"0110","443"
"0111","65"
"1000","71"
"1001","415"
"1010","471"
"1011","71"
"1100","449"
"1101","41"
"1110","67"
"1111","480"
