"Measurement outcome","Frequency"
"0000","43"
"0001","435"
"0010","438"
"0011","62"
"0100","431"
"0101","56"
"0110","31"
"0111","406"
"1000","474"
"1001","51"
"1010","49"
"1011","540"
"1100","41"
"1101","501"
"1110","497"
"1111","41"
