"Measurement outcome","Frequency"
"0000","456"
"0001","24"
"0010","25"
"0011","490"
"0100","26"
"0101","481"
"0110","459"
"0111","25"
"1000","45"
"1001","506"
"1010","503"
"1011","39"
"1100","474"
"1101","28"
"1110","41"
"1111","474"
