"Measurement outcome","Frequency"
"0000","326"
"0001","131"
"0010","174"
"0011","361"
"0100","171"
"0101","304"
"0110","302"
"0111","165"
"1000","213"
"1001","337"
"1010","320"
"1011","219"
"1100","341"
"1101","170"
"1110","182"
"1111","380"
