"Measurement outcome","Frequency"
"0000","1"
"0001","1"
"0010","30"
"0011","1"
"0100","78"
"0101","3"
"0110","3674"
"0111","127"
"1000","1"
"1010","4"
"1100","3"
"1101","1"
"1110","164"
"1111","8"
