"Measurement outcome","Frequency"
"0001","3"
"0010","2"
"0011","73"
"0111","4"
"1000","3"
"1001","82"
"1010","74"
"1011","3827"
"1100","1"
"1101","2"
"1110","1"
"1111","24"
