"Measurement outcome","Frequency"
"0000","96"
"0001","425"
"0010","396"
"0011","95"
"0100","367"
"0101","89"
"0110","65"
"0111","422"
"1000","417"
"1001","86"
"1010","92"
"1011","469"
"1100","90"
"1101","460"
"1110","432"
"1111","95"
