"Measurement outcome","Frequency"
"0000","466"
"0001","27"
"0010","59"
"0011","432"
"0100","29"
"0101","453"
"0110","432"
"0111","40"
"1000","38"
"1001","501"
"1010","532"
"1011","49"
"1100","481"
"1101","29"
"1110","48"
"1111","480"
