"Measurement outcome","Frequency"
"0000","46"
"0001","438"
"0010","474"
"0011","74"
"0100","431"
"0101","51"
"0110","40"
"0111","448"
"1000","504"
"1001","59"
"1010","46"
"1011","458"
"1100","42"
"1101","459"
"1110","471"
"1111","55"
