"Measurement outcome","Frequency"
"0000","342"
"0001","137"
"0010","180"
"0011","328"
"0100","184"
"0101","293"
"0110","309"
"0111","192"
"1000","194"
"1001","345"
"1010","335"
"1011","197"
"1100","316"
"1101","190"
"1110","189"
"1111","365"
