"Measurement outcome","Frequency"
"0000","184"
"0001","329"
"0010","351"
"0011","164"
"0100","336"
"0101","155"
"0110","177"
"0111","351"
"1000","373"
"1001","134"
"1010","170"
"1011","351"
"1100","151"
"1101","358"
"1110","369"
"1111","143"
