"Measurement outcome","Frequency"
"0000","30"
"0001","469"
"0010","499"
"0011","22"
"0100","485"
"0101","20"
"0110","30"
"0111","428"
"1000","502"
"1001","39"
"1010","45"
"1011","502"
"1100","40"
"1101","477"
"1110","473"
"1111","35"
