"Measurement outcome","Frequency"
"0000","117"
"0001","368"
"0010","421"
"0011","88"
"0100","413"
"0101","64"
"0110","86"
"0111","401"
"1000","479"
"1001","87"
"1010","97"
"1011","447"
"1100","72"
"1101","421"
"1110","446"
"1111","89"
