"Measurement outcome","Frequency"
"0000","252"
"0001","250"
"0010","233"
"0011","259"
"0100","225"
"0101","241"
"0110","230"
"0111","269"
"1000","300"
"1001","239"
"1010","259"
"1011","314"
"1100","235"
"1101","289"
"1110","264"
"1111","237"
