"Measurement outcome","Frequency"
"0000","380"
"0001","74"
"0010","101"
"0011","436"
"0100","109"
"0101","374"
"0110","371"
"0111","104"
"1000","126"
"1001","417"
"1010","405"
"1011","130"
"1100","419"
"1101","104"
"1110","129"
"1111","417"
